,importance
average_subdomain_length,0.14404204446364516
url_length,0.1355294635601748
domain_length,0.08054886745010434
entropy_of_url,0.07201428542745403
number_of_subdomains,0.06998454866591762
entropy_of_domain,0.06694031064287398
number_of_digits_in_url,0.06566029591749854
number_of_dots_in_domain,0.05031159210638883
number_of_dots_in_url,0.0442844699499846
number_of_special_char_in_url,0.04305385078368141
